Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
331,Hylurgus ligniperda,502,Nematode,Steinernema feltiae,China,,laboratory,,,,pathogenicity test,"Hu et al., 2004",2004,full text,Study on the biological control of Steinernema feltiae against Hylurgus ligniperda on the entry log
356,Xylosandrus germanus,2185,Nematode,Steinernema feltiae,Turkey,,laboratory,,,culture collection,pathogenicity test,"Kepenekci et al., 2018",2018,full text,"Kepenekci, I., Toksöz, S., Atay, T., & Saruhan, I. (2018). Efficacyof of entomopathogenic nematode isolates from Turkey and Kyrgyzstan against black timber bark beetle, Xylosandrus germanus (Blandford)(Coleoptera: Curculionidae: Scolytinae) adults. Pakistan Journal of Nematology, 36(1), 65-70."
357,Xylosandrus germanus,2185,Nematode,Steinernema carpocapsae,Turkey,,laboratory,,,culture collection,pathogenicity test,"Kepenekci et al., 2018",2018,full text,"Kepenekci, I., Toksöz, S., Atay, T., & Saruhan, I. (2018). Efficacyof of entomopathogenic nematode isolates from Turkey and Kyrgyzstan against black timber bark beetle, Xylosandrus germanus (Blandford)(Coleoptera: Curculionidae: Scolytinae) adults. Pakistan Journal of Nematology, 36(1), 65-70."
358,Xylosandrus germanus,2185,Nematode,Heterorhabditis bacteriophora,Turkey,,laboratory,,,culture collection,pathogenicity test,"Kepenekci et al., 2018",2018,full text,"Kepenekci, I., Toksöz, S., Atay, T., & Saruhan, I. (2018). Efficacyof of entomopathogenic nematode isolates from Turkey and Kyrgyzstan against black timber bark beetle, Xylosandrus germanus (Blandford)(Coleoptera: Curculionidae: Scolytinae) adults. Pakistan Journal of Nematology, 36(1), 65-70."
359,Xylosandrus germanus,2185,Nematode,Steinernema feltiae,Kyrgyzstan,,laboratory,,,culture collection,pathogenicity test,"Kepenekci et al., 2018",2018,full text,"Kepenekci, I., Toksöz, S., Atay, T., & Saruhan, I. (2018). Efficacyof of entomopathogenic nematode isolates from Turkey and Kyrgyzstan against black timber bark beetle, Xylosandrus germanus (Blandford)(Coleoptera: Curculionidae: Scolytinae) adults. Pakistan Journal of Nematology, 36(1), 65-70."
360,Xylosandrus germanus,2185,Nematode,Steinernema carpocapsae,Kyrgyzstan,,laboratory,,,culture collection,pathogenicity test,"Kepenekci et al., 2018",2018,full text,"Kepenekci, I., Toksöz, S., Atay, T., & Saruhan, I. (2018). Efficacyof of entomopathogenic nematode isolates from Turkey and Kyrgyzstan against black timber bark beetle, Xylosandrus germanus (Blandford)(Coleoptera: Curculionidae: Scolytinae) adults. Pakistan Journal of Nematology, 36(1), 65-70."
366,Ips typographus,1733,Nematode,Contortylenchus diplogaster,Georgia,,,,hemocoel,evaluation of pathogens from beetles,,"Kereselidze and Wegensteiner, 2007",2007,full text,"Kereselidze, M., & Wegensteiner, R. (2007). Occurrence of pathogens and parasites in Ips typographus L. from spruce stands (Picea orientalis L.) in Georgia. IOBC wprs Bulletin, 30(1), 207."
371,Ips typographus,1733,Nematode,Contortylenchus diplogaster,Georgia,,,,,,,"Kereselidze et al., 2010",2010,full text,"Kereselidze, M., Wegensteiner, R., Goginashvili, N., Tvaradze, M., & Pilarska, D. (2010). Further studies on the occurrence of natural enemies of Ips typographus (Coleoptera: Curculionidae: Scolytinae) in Georgia. Acta zool. bulg, 62(2), 131-139."
381,Dendroctonus frontalis,479,Nematode,Contortylenchus brevicomi,,parasite,,,,,,"Kinn and Stephen, 1981",1981,full text,"Kinn, D. N., & Stephen, F. M. (1981). The incidence of endoparasitism of Dendroctonus frontalis Zimm.(Coleoptera: Scolytidae) by Contortylenchus brevicomi (Massey) Rühm (Nematoda: Sphaerulariidae) 1. Zeitschrift für Angewandte Entomologie, 91(1‐5), 452-458."
409,Polygraphus poligraphus,3365,Nematode,Anguillulina orta,Germany,,,,,,,"Kleine, 1944",1944,full text,"Kleine, R. (1944). Die europäischen Borkenkäfer und die bei ihnen lebenden Räuber Parasiten und Commensalen.(Ipidae). Publications of famous biologists-a collection of prints."
410,Anisandrus dispar,2083,Nematode,Anguillonema pinguicauda,Germany,,,,,,,"Kleine, 1944",1944,full text,"Kleine, R. (1944). Die europäischen Borkenkäfer und die bei ihnen lebenden Räuber Parasiten und Commensalen.(Ipidae). Publications of famous biologists-a collection of prints."
411,Polygraphus poligraphus,3365,Nematode,Anguillonema pinguicauda,Germany,,,,,,,"Kleine, 1944",1944,full text,"Kleine, R. (1944). Die europäischen Borkenkäfer und die bei ihnen lebenden Räuber Parasiten und Commensalen.(Ipidae). Publications of famous biologists-a collection of prints."
454,Ips typographus,1733,Nematode,nematodes,,,,,hemocoel,,,"Laucius and Zolubas, 1997",1997,only English abstract,"Laucius S. & P. Zolubas 1997. Spruce bark beetle (Ips typographus L.) dynamics in forest reserve in 1995-1996. Miskininkyste 1 (39), 84-92."
455,Ips typographus,1733,Nematode,nematodes,,,,,midgut,,,"Laucius and Zolubas, 1997",1997,only English abstract,"Laucius S. & P. Zolubas 1997. Spruce bark beetle (Ips typographus L.) dynamics in forest reserve in 1995-1996. Miskininkyste 1 (39), 84-92."
465,Ips sexdentatus,1728,Nematode,Parasitorhabditis ipsophila,,parasite,,,,,,"Lieutier and Laumond, 1978",1978,full text,"Lieutier, F., & Laumond, C. (1978). Nématodes parasites et associés à Ips sexdentatus et Ips typographus (Coleoptera, Scolytidae) en région parisienne. Nematologica, 24(2), 184-200."
466,Ips typographus,1733,Nematode,Parasitorhabditis bellifonti,,parasite,,,,,,"Lieutier and Laumond, 1978",1978,full text,"Lieutier, F., & Laumond, C. (1978). Nématodes parasites et associés à Ips sexdentatus et Ips typographus (Coleoptera, Scolytidae) en région parisienne. Nematologica, 24(2), 184-200."
467,Ips typographus,1733,Nematode,Parasitorhabditis subelongati,,parasite,,,,,,"Lieutier and Laumond, 1978",1978,full text,"Lieutier, F., & Laumond, C. (1978). Nématodes parasites et associés à Ips sexdentatus et Ips typographus (Coleoptera, Scolytidae) en région parisienne. Nematologica, 24(2), 184-200."
468,Ips sexdentatus,1728,Nematode,Parasitorhabditis ipsophila,,parasite,,,,,,"Lieutier and Laumond, 1984",1984,full text,"Lieutier, F. (1984). Observations sur le parasitisme d’Ips sexdenta tus (Insecta: Scolytidae) par Parasitorhabditis ipsophila (Nematoda: Rhabditidae). Annales de parasitologie humaine et comparée, 59(5), 507-520."
469,Ips sexdentatus,1728,Nematode,Parasitaphelenchus sp.,France,parasite,,,,,,"Lieutier et al., 1982",1982,full text,"Lieutier, F., Jastrabsky, M., & Bonnafe, P. (1982). Les variations pondérales du tissu adipeux et des ovaires, et les variations de longueur des ovocytes, chez Ips sexdentatus Boern (Coleoptera: Scolytidae); relations avec le parasitisme par les nématodes. Annales de Parasitologie Humaine et Comparée, 57(4), 407-418."
470,Ips sexdentatus,1728,Nematode,Parasitaphelenchus sexdentati,France,parasite,,,,,,"Lieutier et al., 1982",1982,full text,"Lieutier, F., Jastrabsky, M., & Bonnafe, P. (1982). Les variations pondérales du tissu adipeux et des ovaires, et les variations de longueur des ovocytes, chez Ips sexdentatus Boern (Coleoptera: Scolytidae); relations avec le parasitisme par les nématodes. Annales de Parasitologie Humaine et Comparée, 57(4), 407-418."
471,Ips sexdentatus,1728,Nematode,Contortylenchus diplogaster,France,parasite,,,,,,"Lieutier et al., 1982",1982,full text,"Lieutier, F., Jastrabsky, M., & Bonnafe, P. (1982). Les variations pondérales du tissu adipeux et des ovaires, et les variations de longueur des ovocytes, chez Ips sexdentatus Boern (Coleoptera: Scolytidae); relations avec le parasitisme par les nématodes. Annales de Parasitologie Humaine et Comparée, 57(4), 407-418."
